,Workout Name,Body Part,Equipment
2232,Holman Straight Plank Pike,Abs,Body Only
2233,Holman Alternating Weighted Diagonal Burpee,Legs,Other
2234,Holman Overhead Weighted Triceps Press,Triceps,Other
2235,Holman Right Lunge Hop to Chest Press,Legs,Body Only
2236,Holman Left Lunge Hop to Overhead Press,Legs,Body Only
2237,Holman Ninja Knee Straight Plank,Abs,Body Only
2238,Holman 180 Jump Hop Forward Hop Back,Legs,Body Only
2239,Holman Reverse Crunch to Hip Raise,Abs,Body Only
2240,Holman Weighted Killer Abs with Overhead Press,Abs,Other
2241,Holman Couch Triceps Dip,Triceps,Body Only
2242,Holman Straight Plank Quick Reach,Abs,Body Only
2243,Holman Weighted 180 Jump to Chest Press,Legs,Dumbbell
2244,Holman Weighted Split-Leg Pike,Abs,Other
2245,Holman Alternating Front Lunge Biceps Curl,Biceps,Dumbbell
2246,Holman Alternating Diagonal Straight Plank,Abs,Body Only
2247,Holman Alternating Side Squat Overhead Press,Legs,Dumbbell
2248,Holman Towel Drag Two Steps to Push-Up,Chest,Other
2249,Holman Weighted Double-Time Biceps Curl,Biceps,Dumbbell
2250,Holman Towel Burpee to Push-Up,Legs,Other
2251,Holman Right Split Squat,Legs,Body Only
2252,Holman Left Split Squat,Legs,Body Only
2253,Holman Feet-Elevated Left Side Plank,Abs,Body Only
2254,Holman Right Hand Left Foot Crab Reach,Abs,Body Only
2255,Holman Low-Impact Crab Kick,Abs,Body Only
2256,Holman Alternating Crab Flip to Froggy Push-Up,Abs,Body Only
2257,Holman High-Impact Crab Kick,Abs,Body Only
2258,Holman Right Lunge with Right Biceps Curl,Legs,Dumbbell
2259,Holman Heavy Right Arm Biceps Curl,Biceps,Dumbbell
2260,Holman Left Lunge with Left Biceps Curl,Legs,Dumbbell
2261,Holman Heavy Left Arm Biceps Curl,Biceps,Dumbbell
2262,Holman Single-Leg Right Pike,Abs,Body Only
2263,Holman Single-Leg Left Pike,Abs,Body Only
2264,Holman Heavy Double Pike,Abs,Dumbbell
2265,Holman Heavy Double Split Pike,Abs,Dumbbell
2266,Holman Double Squat Pulse to 180 Jump,Legs,Body Only
2267,Holman Shoulder Tap to Hand Tap,Abs,Body Only
2268,Holman Towel Right Side Squat,Legs,Other
2269,Holman Towel Left Side Squat,Legs,Body Only
2270,Holman Jump-Out to Push-Up,Chest,
2271,Holman Towel Reverse Plank Jack,Abs,Body Only
2272,Holman Side-to-Side Twist,Abs,Body Only
2273,Holman Squat Thrust to Alternating Front Raise,Legs,Dumbbell
